title,subtitle,author,publisher,genre,width,filename,bookcase,compartment
"Visual Texture,,""Haindl, Filip"",Springer,IT,19,visual_texture,B,2"
Zeit des Grauens,,John Saul,Heyne,Roman,28,zeit_des_grauens,B,2
Aufbruch ins Abenteuer,,R. Messner,Bastei Lübbe,Erzählungen,14,aufbruch_ins_abenteuer,B,
AVR-Mikrocontroller in C programmieren,,Spanner,Franzis,IT,12,avr_mikrocontroller_in_c_programmieren,B,
"Brot zum Leben,,""De Haan, Bosch"",hänssler,Religion,22,brot_zum_leben,B,"
Das Geheimnis des Feuers,,Henning Mankel,Oetinger,Jugend,21,das_geheimnis_des_feuers,B,
Das große Tafelwerk interaktiv,Formelsammlung für die Sekundarstufen I und II,,Cornelsen,Schule,12,das_grosse_tafelwerk_interaktiv,B,
Das Haus der Krokodile,,Ballot,Georg Bitter Verlag,Krimi,19,das_haus_der_krokodile,B,
Das kleine alte Auto,,Breuer-Weber,Fischer,Kinder,12,das_kleine_alte_auto,B,
Der achte Schöpfungstag,,Thornton Wilder,S. Fischer Verlag,Roman,33,der_achte_schoepfungstag,B,
Der Adler ist gelandet,,Jack Higgins,Pavillon,Roman,29,der_adler_ist_gelandet,B,
Der Dschunken Doktor,,Konsalik,Heyne,Roman,18,der_dschunken_doktor,B,
Der Friede im Osten,,Erik Neutsch,Mitteldeutscher Verlag Halle,,28,der_friede_im_osten,B,
Der Friede sah ganz anders aus,,Heilwig von der Mehden,Herder,Geschichte,9,der_friede_sah_ganz_anders_aus,B,
Der Hengst im Moor,,P. C. Hass,Boja-Verlag,Jugend,24,der_hengst_im_moor,B,
Der Knochenpoet,,Susanne Kraus,Lingen Verlag,Roman,38,der_knochenpoet,B,
Der Kurier des Zaren,,Jules Verne,Bertelsmann,,22,der_kurier_des_zaren,B,
Der lange Schlaf,,Fran Dorf,Knaur,Roman,25,der_lange_schlaf,B,
Der Pferdeflüsterer,,Nicholas Evans,Goldmann,Roman,32,der_pferdefluesterer,B,
Der Schiffbruch der Mary Deare,,Hammond Innes,Bastei Lübbe,Roman,20,der_schiffbruch_der_mary_deare,B,
Der Stern von Kalifornien,,Hans-Otto Meissner,Mohndruck,Erfahrungen,31,der_stern_von_kalifornien,B,
Der vertauschte Koffer,,Karl-Heinz Köpcke,Schneider-Buch,Kinder,14,der_vertauschte_koffer,B,
Der Winter, der ein Sommer war,,Sandra Paretti,Karl Müller,,48,der_winter_der_ein_sommer_war,B,
Die dunkle Seite,,F. Schätzing,Emons,Thriller,30,die_dunkle_seite,B,
Die Herren der Insel,,Pat Conroy,Bastei Lübbe,Roman,39,die_herren_der_insel,B,
Die nach den Sternen greifen,,Burk,Moewig,Roman,16,die_nach_den_sternen_greifen,B,
Die Sieben Minuten,,Irving Wallace,Deutscher Bücherbund Stuttgart,Roman,51,die_sieben_minuten,B,
Die süße Frau,,Monika Tantzscher,Fischer,Erzählungen,22,die_suesse_frau,B,
Die vergessenen Tiere von Eld,,Patricia A. McKillip,Heyne,Fantasy,13,die_vergessenen_tiere_von_eld,B,
Die Vinland Saga,,Josef Nyary,Bastei Lübbe,,40,die_vinland_saga,B,
Die Vögel von Bangkok,,Vazquez Montalban,rororo,Thriller,18,die_voegel_von_bangkok,B,
Die vollen Tage des Lebens,,Dorothy Eden,Schneekluth Verlag,Roman,34,die_vollen_tage_des_lebens,B,
Eine Handvoll Leben,,Haushofer,Knaur,Roman,14,eine_handvoll_leben,B,
Frauen steigen ein,,Haasen,dtv ratgeber,Ratgeber,15,frauen_steigen_ein,B,
Gefrorene Seelen,,Giles Blunt,Weltbild,Roman,37,gefrorene_seelen,B,
Gott schütze dieses Haus,,Elizabeth George,Goldmann,Roman,23,gott_schuetze_dieses_haus,B,
Greif, der Wolfshund,,K. Theuermeister,Karo Buch,,15,greif_der_wolfshund,B,
Hannelore hat ein Ziel,,Renate Lienau,Verlagsbuchhandlung Julius Breitschopf,,21,hannelore_hat_ein_ziel,B,
Hastings Zwei,,Alfred Coppel,Kaiser Verlag,Roman,29,hastings_zwei,B,
Hengstparade,,Gaby Hauptmann,Piper,Roman,18,hengstparade,B,
Hölle auf Zeit,,Jack Higgins,Bastei Lübbe,Roman,19,hoelle_auf_zeit,B,
Inside the Java 2 Virtual Machine,,Venners,Mc Graw Hill,IT,45,inside_the_java_2_virtual_machine,B,
Interaction Design,beyond human-computer interaction,,Wiley,IT,21,interaction_design,B,
"Interactive 3D Multimedia Content,,""Cellary, Walczak Eds."",Springer,IT,17,interactive_3d_multimedia_content,B,"
"Interaktive Systeme 2,2. Aufl.,""Dreim, Dachselt"",Springer,IT,30,interaktive_systeme_2,B,"
"Java on Smart Cards: Programming and Security,Java Card 2000,""Attali, Jensen (Eds.)"",Springer,IT,10,java_on_smart_cards_programming_and_security,B,"
Land voraus – Amerika!,,F. O. Busch,Franz Schneider Verlag,Kinder,17,land_voraus_amerika,B,
Learning OpenCV,,Bradski & Kaehler,O´Reilly,IT,29,learning_opencv,B,
Marianne – Flammender Lorbeer,,Benzoni,Moewig,Roman,12,marianne_flammender_lorbeer,B,
Mehr als nur Träume,,Jude Deveraux,Bastei Lübbe,Roman,29,mehr_als_nur_traeume,B,
Middleware,For Communications,Mahmoud,Wiley,IT,33,middleware,B,
Mirjam und das Lager in der Wüste,,Hanne Turowski,Bernward,Jugend,15,mirjam_und_das_lager_in_der_wueste,B,
Nesthäkchen fliegt aus dem Nest,,Else Ury,Omnibus,Jugend,19,nesthaekchen_fliegt_aus_dem_nest,B,
Neuerscheinung,,Michael Gantenberg,Scherz Verlag,Roman,23,neuerscheinung,B,
pour un nouveau roman,,Alain Robbe-Grillet,idees,Roman,14,pour_un_nouveau_roman,B,
"Practical Electronics for Inventors,Third Edition,""Scherz, Monk"",Mc Graw Hill,Wissenschaft,36,practical_electronics_for_inventors,B,"
Pschyrembel Medizinisches Wörterbuch,257.,,Nikol,Wissenschaft,66,pschyrembel_medizinisches_woerterbuch,B,
Pythagoras im Urlaub,,Bernhard Gündel,Diesterweg,Wissen,14,pythagoras_im_urlaub,B,
Quaternions for Computer Graphics,,Vince,Springer,IT,15,quaternions_for_computer_graphics,B,
Rumba auf einen Herbst,,Irmtraud Morgner,Luchterhand,Roman,34,rumba_auf_einen_herbst,B,
Sandra – Spur der Fedorbande,,Margot Kreuter,Schneider-Buch,Kinder,17,sandra_spur_der_fedorbande,B,
Sanfte Gewalt,,Marie Louise Fischer,Heyne,Roman,17,sanfte_gewalt,B,
Schattenfrau,,Melodie Johnson Howe,Goldmann,Krimi,15,schattenfrau,B,
Showdown,,Matthew Reilly,Ullstein,Roman,33,showdown,B,
Sind die Deutschen noch zu retten?,,Henzler / Späth,Goldmann,Wissen,18,sind_die_deutschen_noch_zu_retten,B,
Things that make us Smart,,Norman,Basic Books,IT,19,things_that_make_us_smart,B,
TKKG/Schlangeninsel,,Wolf,Pelikan,Jugend,21,tkkg_schlangeninsel,B,
Triadic Game Design,,Harteveld,Springer,IT,19,triadic_game_design,B,
UbiComp 2007 Adjunct Proceedings,,Bardram et al. (Eds.),,IT,18,ubicomp_2007_adjunct_proceedings,B,
"UIST 2009,""Victoria, British Columbia, October 4-7, 2009"",,acm,IT,13,uist_2009,B,"
Und die Frauen weinten Blut,,Saliha Scheinhardt,Express Edition,,12,und_die_frauen_weinten_blut,B,
verstehen und fördern,,Heinz-Joachim Petzold,Evangelische Verlagsanstalt Berlin,Wissen,18,verstehen_und_foerdern,B,
Wandlungen,,Liv Ullmann,Scherz Verlag,,29,wandlungen,B,
Wer knackt die Nuß?,2. Band,Ecke,Ravensburger,Kinder,10,wer_knackt_die_nuss,B,
Wilhelm Busch Hausbuch,,,Delphin Verlag,,40,wilhelm_busch_hausbuch,B,
Wüstenmond,,Federica de Cesco,Blanvalet,Roman,34,wuestenmond,B,
"XML,""Professionel, 2nd Edition"",""Birbeck, Duckett, Gudmundson, Kobak, Lenz, Livingstone, Marcus, Mohr, Pinnock, Visco, Watt, Williams, Zaev, Ozu"",wrox,IT,56,xml,B,"
Zwei Engel für Mor,In geheimer Mission,Alexandra Raumer,vgs,,19,zwei_engel_fuer_mor,B,
"Betty und ihre Schwestern,,""Louisa May Alcott"",ro ro ro,Roman,,betty_und_ihre_schwestern,HI-1,"
Blutiger Kuss,Fear Street,R.L.Stine,loewe,horror,,blutiger_kuss,HI-1,
Callanetics,Das grosse Handbuch,Callan Pinckney,Orbis,Roman,,callanetics,HI-1,
Alarm! Das Weiberschiff,,Konsalik,Heyne,Roman,,das_weiberschiff,HI-1,
Das Blumenjahr,,Gabriele Vocke,F,Roman,,das_blumenjahr,HI-1,
Das Erbe der Guldenburgs,,Axel Rode,,Roman,,das_erbe_der_guldenburgs,HI-1,
Der geschenkte Gaul,,Hildegard Knef,,Roman,,der_geschenkte_gaul,HI-1,
Der Hexer,,Edgar Wallace,,Roman,,der_hexer,HI-1,
Der Medicus,,Noah Gordon,,Roman,,der_medicus,HI-1,
Die Farbe der Hoffnung,,Susan Madison,CP,Roman,,die_farbe_der_hoffnung,HI-1,
Die Frauen vom Schloß,,Marie Louise Fischer,,Roman,,die_frauen_vom_schloss,HI-1,
Die Liebes- maschine,,Jacqueline Susann,,Roman,,die_liebesmaschine,HI-1,
Die Maya,,Wilfried Westphal,G,Sachbuch,,die_Maya,HI-1,
Die schönsten Weihnachtsgeschichten,,Alexandra Cordes,G,Stories,,die_schoensten_weihnachtsgeschichten,HI-1,
Eiertanz,,Jensen,Knaur,Roman,,eiertanz,HI-1,
Eine Welt in Auf- lösung,,Peter Scholl- Latour,Siedler,Politics,,Eine_Welt_in_Aufloesung,HI-1,
Erlesenes aus Österreichs Küche,,Matt/Glocker,t,Cooking,,erlesenes_aus_oesterreichs_kueche,HI-1,
Flucht ins Glück,Ein Frauenheld entdeckt die Liebe,Historical Lords & Ladies,CORA,Roman,,flucht_ins_glueck,HI-1,
Forrest Gump,,Winston Groom,Heyne,Roman,,forrest_gump,HI-1,
Geburtstag feiern,,MOEWIG,,Roman,,Geburtstag_feiern,HI-1,
Gedichte 2,,Goethe,OOO,Poem,,gedichte2,HI-1,
Gedichte Deutschlands seit 1945,,Grosser,dtv,Stories,,geschichten_deutschlands_seit_1945,HI-1,
Hollywood,,Harold Robbins,NGV,Roman,,hollywood,HI-1,
Im Tempel meines Herzens,,Alice Walker,,Roman,,im_tempel_meines_herzens,HI-1,
Käp'ten Marryat Steuermann Ready,,Karl Müller,,Roman,,Kaepten_marryat,HI-1,
Kleiner Wolf und die Blauröcke,,Ericson,Abenteuer,Roman,,kleiner_wolf_und_die_blauroecke,HI-1,
Kuchen und Torten,,Klaus Groth,F,Cooking,,kuchen_und_torten,HI-1,
Learning English A1 neu,,,,School,,learning_english_a1_neu,HI-1,
Lesen Darstellen Begreifen,,,B6,School,,lesen_darstellen_begreifen,HI-1,
Lipstick,,Susanne Fülscher,,Roman,,lipstick,HI-1,
Mord braucht Reklame,,Sayers,,Thriller,,mord_braucht_reklame,HI-1,
Physik und Chemie 5/6 (OS) NDS,Natur und Technik,,Cornlesen,School,,physik_und_chemie,HI-1,
Politik macht Geld,,Hans Herbert von Arnim,Knaur,Political,,politik_macht_geld,HI-1,
R-Bop,,,ACT,Roman,,r_bop,HI-1,
Reliquet: Ritter, Tod und Teufel,,,dtv,Nonfiction,,ritter_tod_und_teufel,HI-1,
Rodzinna,kuchnia Lidla,KUCHNIA LIDLA.PL,LIDL,Cooking,,rodzinna,HI-1,
Salvete,BAND 1,,Cornlesen,School,,salvete,HI-1,
Schlampi reisst aus,,Palmen,M,Roman,,schlampi_reisst_aus,HI-1,
Schluss mit Lustig,,Peter Hahne,,Political,,schluss_mit_lustig,HI-1,
Zeiten und Menschen,2,,,School,,zeiten_und_menschen,HI-1,
150 Sportarten verständlich erklärt,,Gerhard Jäger,Goldmann,Ratgeber,,150_sportarten,HI-2,
Adieu, Jean Claude,,Utta Danella,,Roman,,adieu_jean_claude,HI-2,
Allein gegen Palermo,,Willi Heinrich,,Roman,,allein_gegen_palermo,HI-2,
Alte Häuser sterben nicht,,Willi Heinrich,,Roman,,alte_haeuser_sterben_nicht,HI-2,
am Ufer der Seine,Mein zauberhafter Buchladen,Rebecca Raisin,atb,Roman,,am_ufer_der_seine,HI-2,
Bitte laßt die Blumen leben,,Johannes Mario Simmel,Knaur,Roman,,bitte_lasst_die_blume_leben,HI-2,
bright baby animals,,,,Kids,,bright_baby_animals,HI-2,
Das Grosse Header's Digest Gesundheits- Buch,,,Verlag das Beste GmbH,Health,,das_grosse_gesundheitsbuch,HI-2,
Das Herz einer Mutter,,Marie Louise Fischer,,Roman,,das_herz_einer_mutter,HI-2,
Das Hexen-Amulett,,Susannah Kells,ro ro ro,Roman,,das_hexen-amulett,HI-2,
Das schönste von Wilhelm Busch,,Wilhelm Busch,Albatros,Poem,,das_schoenste_von_wilhelm_busch,HI-2,
Das Wallfahrerbündel,,Mairock,,Roman,,das_wallfahrerbuendel,HI-2,
Denkanstöße 2013,,Piper,,Life,,denkanstoesse_2013,HI-2,
Der Fisch ohne Fahrrad,,Dunkel,Knaur,Roman,,der_fisch_ohne_fahrrad,HI-2,
Der Fluch der Opale,Roman Schneekluth,Victoria Holt,,Roman,,der_fluch_der_opale,HI-2,
Der Geist fiel nicht vom Himmel,,Hoimar v.Ditfurth,,Roman,,der_geist_fiel_nicht_vom_himmel,HI-2,
Der Golf,,Gerhard Konzel- mann,,Roman,,der_golf,HI-2,
Der Kanzler,,Peter Norden,,Roman,,der_kanzler,HI-2,
Der Mann, der lächelte,,Henning Mankell,Z,Roman,,der_mann_der_laechelte,HI-2,
Der Ring aus Stein,,Danielle Steel,,Roman,,der_ring_aus_stein,HI-2,
Der Satans- Käfer,,Alistair MacLean,Lingen,Roman,,der_satans-kaefer,HI-2,
Der Schlange List,,Faye Kellerman,btb,Roman,,der_schlange_list,HI-2,
Die Chorknaben,,Joseph Wambaugh,Heyne,Roman,,die_chorknaben,HI-2,
Die dünne Frau,,Dorothy Cannell,,Roman,,die_duenne_frau,HI-2,
Die Ferien des Journalisten B.,,Helmut Schinagl,,Roman,,die_ferien_des_journalisten_b,HI-2,
Die großen Meyersons,,Stephen Birmingham,,Roman,,die_grossen_meyersons,HI-2,
Die Perlenzüchterin,,Di Morrissey,Weltbild,Roman,,die_perlenzuechterin,HI-2,
Du hast noch eine Chance, Lyddie!,,Katherine Paternson,UEBERREUTER,Roman,,du_hast_noch_eine_chance_lyddie,HI-2,
Ein falscher Traum von Liebe,Erfahrungen,Christine Birkhogg,Bastei Lübbe,Stories,,ein_falscher_traum_von_liebe,HI-2,
Ein Tag zum freuen,,Kreuter,,Roman,,ein_tag_zum_freuen,HI-2,
Es geschah im Nachbarhaus,2500,Fährmann,Arena,Roman,,es_geschah_im_nachbarhaus,HI-2,
Evi vom Waldhof,,Hans Ernst,,Roman,,evi_vom_waldhof,HI-2,
Falcon Crest,,Patrick Mann,,Roman,,falcon_crest,HI-2,
Flori Geht zur Schule,,Kruse,Benja,Roman,,flori_geht_zur_schule,HI-2,
Frauen und Geld,Ratgeber,Bernd W. Klöckner / Bianca Sommerfeld,freche Frauen,Ratgeber,,frauen_und_geld,HI-2,
Giganten,,Edna Ferber,,Roman,,giganten,HI-2,
Harz,,,,Tourism,,harz,HI-2,
Hotel Shanghai,,Vicki Baum,Heyne,Roman,,hotel_shanghai,HI-2,
Im Namen Gottes?,,Yallop,Knaur,Roman,,im_namen_gottes,HI-2,
In einer Welt von Glas,,Morris L. West,Knaur,Roman,,in_einer_welt_von_glas,HI-2,
Keine Rasse, aber Klasse!,,Ingrid Kell,Honos,Roman,,keine_rasse_aber_klasse,HI-2,
Krebs station,,Alexander Solschenizyn,,Roman,,krebs_station,HI-2,
Lieb Vaterland magst ruhig sein,,Simmel,Knaur,Roman,,lieb_vaterland_magst_ruhig_sein,HI-2,
Live dabei,,Wolf von Lojewski,Bastei Lübbe,Roman,,live_dabei,HI-2,
Park-Klinik Prof.Berger,Mädchen in Weiß - Eine kam zurück,Cetto,,Roman,,maedchen_in_weiss,HI-2,
Nur der Pudding hört mein Seufzen,,Emma Bombeck,,Roman,,nur_der_pudding_hoert_mein_seufzen,HI-2,
Prinzessin Daisy,,Judith Krantz,,Roman,,prinzessin_daisy,HI-2,
Robby,,Robert Lane,Scherz,Roman,,robby,HI-2,
Rote Sonne schwarzes Land,,Barbara Wood,,Roman,,rote_sonne_schwarzes_land,HI-2,
Rückkehr nach Monterey,,Barbara Delinsky,Knaur,Roman,,rueckkehr_nach_monterey,HI-2,
Schlafende Sonne lockender Mond,,Alice Eckert- Rotholz,Lingen,Roman,,schlafenede_sonne_lockender_mond,HI-2,
September,,Rosamunde Pilcher,,Roman,,september,HI-2,
So wie wir sind,,Martina Littauer Betty Southard,,Roman,,so_wie_wir_sind,HI-2,
Spanien,,Marco Polo,Marco Polo,Tourism,,spanien,HI-2,
Sturmwind Flickas Sohn,,Mary O'Hara,,Roman,,sturmwind_flickas_sohn,HI-2,
The secret Diary of Adrian Mole Aged 13,,Sue Townsend,,Roman,,the_secret_diary_of_adrian_mole_aged_13,HI-2,
Wilde Schwäne,,Chang,Knaur,Roman,,wilde_schwaene,HI-2,
Wolken am Horizont,,Posamunde Pilcher,ro ro ro,Roman,,wolken_am_horizont,HI-2,
Der blaue Stein,,Gilbert Sinoue,Knaur,Roman,,der_blaue_stein,HI-3,
Anleitung zum Ehebruch,,Carol Clewlow,,Roman,,anleitung_zum_ehebruch,HI-3,
Nicht mit dir und nicht ohne dich,,Merian/Ney,,Roman,,nicht_mit_dir_und_nicht_ohne_dich,HI-3,
Die Akte Odessa,,Frederick Forsyth,,Roman,,die_akte_odessa,HI-3,
Papillon,,Henri Chariere,,Roman,,papillon,HI-3,
Die Päpstin,,Donna W. Cross,AV,Roman,,die_paepstin,HI-3,
Die letzt Reise nach Palermo,,D. Himmelberger & S. Marretta,,Roman,,die_reise_nach_palermo,HI-3,
Das Schwert in der Stille,,Lian Hearn,ullstein,Roman,,das_schwert_in_der_stille,HI-3,
Abfahrt Pelham 1 Uhr 23,,John Godey,,Roman,,abfahrt_pelham,HI-3,
Das Grosse Kishon Karrussell,,Langen Müller,,Roman,,das_grosse_kishon_karussell,HI-3,
Rückkehr nach Monterey,Virginias Töchter,Barbara Delinsky,Weltbild,Roman,,virginias_toechter,HI-3,
Der Abschieds- stein,,Tad Williams,,Roman,,der_abschiedsstein,HI-3,
Konrad Adenauer,Erinnerungen 1953 - 1955,Konrad Adenauer,,History,,erinnerungen_1953-1955,HI-3,
1001 Glückwünsche in Reim und Vers,,Pattloch,,Roman,,1001_glueckwuensche_in_reim_und_vers,HI-3,
Das Parfum des Schreckens,,Anne Maybury,,Roman,,das_parfum_des_schreckens,HI-3,
Es blieb nur ein rotes Segel,,Konsalik,Bastei Lübbe,Roman,,es_blieb_nur_ein_rotes_segel,HI-3,
Der Inka,,Daniel Peters,,Roman,,der_inka,HI-3,
Liebesgeschichten,,Barbara Noack,,Roman,,liebesgeschichten,HI-3,
Lugal,,Josef Nyary,,Roman,,lugal,HI-3,
Die Nornen- königin,,Tad Williams,,Roman,,die_norden_koenigin,HI-3,
Der Conducator,Nicolae Ceausescu,Malte Olschewski,UEBERREUTER,Roman,,der_conducator,HI-3,
Goldene Gräser,,Patricia Shaw,,Roman,,goldene_graeser,HI-3,
Des Sieges bittere Tränen,,Konsalik,Lingen,Roman,,des_sieges_bittere_traenen,HI-3,
Shades of Grey,Gefährliche Liebe,E L James,Goldmann,Roman,,shades_of_grey,HI-3,
Die Seidenmanufaktur,Zur schönen Harmonie,Tash Aw,rowohlt,Roman,,die_seidenmanufaktur,HI-3,
Der grosse Regen,,Louis Bromfield,,Roman,,der_grosse_regen,HI-3,
Robert Littell,Task Force 753,,,Roman,,robert_littel,HI-3,
Im Tak der bittersüßen Träume,,Konsalik,,Roman,,im_tal_der_bittersuessen_traeume,HI-3,
Die lustigsten Lausbuben Geschichten,,,t,Roman,,die_lustigen_lausbuben_geschichten,HI-3,
Sieg des Herzens Gesang der Rosen,,Konsalik,Lingen,Roman,,sieg_des_herzens,HI-3,
Der versteinerte Fisch,,Federica de Cesco,Benziger,Roman,,der_versteinerte_fisch,HI-3,
Zeit der Haut,,Anja Snellman,btb,Roman,,zeit_der_haut,HI-3,
Mein buntes Vorlesungsbuch,,,,Stories,,mein_buntes_vorlesungsbuch,HI-3,
Besser Denken - Besser Leben,,,,Roman,,besser_denken_besser_leben,HI-3,
Der Prinz aus dem Paradies,,Hera Lind,Diana,Roman,,der_prinz_aus_dem_paradies,HI-3,
Herzen in Aufruhr,,Marie Louise Fischer,,Roman,,herz_in_aufruhr,HI-3,
Dornen können Rosen tragen,,Jörg Zink,K,Roman,,dornen_koennen_rosen_tragen,HI-3,
Der Fels des Löwen,,Eric Campbell,UEBERREUTER,Roman,,der_fels_des_loewen,HI-3,
Weil deine Augen ihn nicht sehen,,Mary Higgins Clark,Heyne,Roman,,wie_deine_augen_ihn_nicht_sehen,HI-3,
Midnight Express,Erfahrungen,Billy Hayes William Hoffer,Bastei Lübbe,Roman,,midnight_express,HI-3,
Der schnelle Weg zum richtigen Wort,,,ADAC,Roman,,der_schnelle_weg_zum_richtigen_wort,HI-3,
Louison oder die köstliche Stunde,,Fanny Deschamps,Wunderlich,Roman,,louison_oder_die_koestliche_stunde,HI-3,
Frau zu sein bedarf es wenig,,Hera Lind,,Roman,,frau_zu_sein_bedarf_es_wenig,HI-3,
The Parsons Daughter,,Catherine Cookson,Corgi,Roman,,the_parsons_daughter,HI-3,
Frisch gepreßt,,Susanne Fröhlich,,Roman,,frisch_gepresst,HI-3,
Skandal in Dallas,,Burt Hirschfeld,,Roman,,skandal_in_dallas,HI-3,
Einmal Himmel und retour,,Claudia Keller,Blanvalet,Roman,,einmal_himmel_und_retour,HI-3,
Kampf und Leiden- schaft,,Leslie Arlen,Lingen,Roman,,kampf_und_leidenschaft,HI-3,
Wie Sand am Meer,,Catherine Gaskin,,Roman,,wie_sand_am_meer,HI-3,
Airport Klinik,,Konsalik,,Roman,,airport_klinik,OS-1,
Avra,,J. M. Dillard,G,Roman,,avra,OS-1,
Axel rettet den Dschungelforscher,,Körber,,Roman,,axel_rettet_den_dschungelforscher,OS-1,
Cottage gesucht Held gefunden,,Susan Elizaeth Phillips,blanvalet,Roman,,cottage_gesucht_held_gefunden,OS-1,
Das Geheimnis der sieben Palmen,,Konsalik,,Roman,,das_geheimnis_der_sieben_palmen,OS-1,
Das geschenkte Gesicht,,Konsalik,,Roman,,das_geschenkte_gesicht,OS-1,
Der Elfenpakt,,Herbie Renman,dtv,Roman,,der_elfenpakt,OS-1,
Der Grosse Regen,,Louis Bromfield,,Roman,,der_grosse_regen,OS-1,
Der Jade Pavillon,,Konsalik,,Roman,,der_jade_pavillion,OS-1,
Der Kater,-und der Ruf im Nebel,Jo Pestum,,Roman,,der_kater,OS-1,
Der Wüstendoktor,Die Drohung des Sieges Bittere Tränen,Konsalik,,Roman,,der_wuestendoktor,OS-1,
Die Dame mit dem Samtvisier,,Geissler,,Roman,,die_dame_mit_dem_samtvisier,OS-1,
Die Drohung,,Konsalik,Lingen,Roman,,die_drohung,OS-1,
Die Ent- wurzel- ten,,James Jones,,Roman,,die_entwurzelten,OS-1,
Die Gesellschaft im Blizzard,,Caldwell,G,Roman,,die_gesellschaft_im_blizzard,OS-1,
Die hochreiter Kinder,,Hilde,,Roman,,die_hochreiter_kinder,OS-1,
Die Inselfrauen,,Sylvia Lott,blanvalet,Roman,,die_inselfrauen,OS-1,
Die Jungens von Burg Schreckenstein,,Hassencamp,,Roman,,die_jungens_von_burg_schreckenstein,OS-1,
Frühling des Lebens,,,Reader´s Digest,Roman,,die_schoensten_buecher_fuer_junge_leser,OS-1,
Die Stunde des Jägers,,Jack Higgins,,Roman,,die_stunde_des_jaegers,OS-1,
Die Tochter des Teufels,,Konsalik,,Roman,,die_tochter_des_teufels,OS-1,
Ein Kreuz in Sibirien,,Konsalik,,Roman,,ein_kreuz_in_sibirien,OS-1,
Ein Sommer mit Danica,,Konsalik,,Roman,,ein_sommer_mit_danica,OS-1,
Ein wunderbarer Sommer,,Kerry Fisher,Goldmann,Roman,,ein_wunderbarer_sommer,OS-1,
Eine ganz heiße Nummer,,Andrea Sixt,Bastei Lübbe,Roman,,eine_ganz_heisse_nummer,OS-1,
Engel der Vergessenen,,Konsalik,,Roman,,engel_der_vergessenen,OS-1,
Florian und Roter Blitz,,May D'Alencon,,Roman,,florian_und_roter_blitz,OS-1,
Fröhliche Tage im Waldhaus,,Gretl Maurer,GJB,Roman,,froehliche_tage_im_waldhaus,OS-1,
Gedichte,20,Hans Magnus Enzensberger,,Roman,,gedichte_20,OS-1,
Geheimnisse des Waldes,,Kloss,,Roman,,geheimnisse_des_waldes,OS-1,
Gerda im Heidehof,,Kretzer-Hartl,Karu Buch,Roman,,gerda_im_heidenhof,OS-1,
Gesundheit für unsere Jugend,Gesamtausgabe,J. G. Schnitzer,,Roman,,gesundheit_fuer_unsere_jugend,OS-1,
Gott spricht zu Samuel,,,A,Roman,,gott_spricht_zu_samuel,OS-1,
Heide- Schul- Meister Uwe Karsten,,Felicitas Rose,,Roman,,heideschulmeister_uwe_karsten,OS-1,
IPCRESS - Streng Geheim,,Len Deighton,Heyne,Roman,,icress_streng_geheim,OS-1,
In bester Gesellschaft,,Walter Berger,Bastei Lübbe,Roman,,in_bester_gesellschaft,OS-1,
Jo und Trixi retten ihre Freunde,,M.Hansen,JM,Roman,,jo_und_trixi_retten_ihre_freunde,OS-1,
