title,subtitle,author,publisher,genre,width,filename,bookcase,compartment
Küsschen für alle,,Roland Dahl,,Roman,,kuesschen_fuer_alle,OS-1,
Mutterkind,,Jenny Diski,Klett-Cotta,Roman,,mutterkind,OS-1,
Natascha,,Konsalik,,Roman,,natascha,OS-1,
O diese Elke!,,Schäfer,GJB,Roman,,oh_diese_elke,OS-1,
SANDRA und der Junge vom Fluß,,Kreuter,,Roman,,sandra_und_der_junge_vom_fluss,OS-1,
Nr. 13 Londen Street,Schatten in Rockfort Castle,Scheffler,,Roman,,schatten_in_rockfort_castle,OS-1,
Schicksal aus zweiter Hand,,Konsalik,,Roman,,schicksal_aus_zweiter_hand,OS-1,
Schwarze Diamanten,,Martin Walker,,Roman,,schwarze_diamanten,OS-1,
Tinas Shetty-Jahr,,Seuberlich,,Roman,,tinas_shetty_jahr,OS-1,
Ulrike im Internat,,Fischer,,Roman,,ulrike_im_internat,OS-1,
Unheimliche Verfolger,,v. Hanstein,GJB,Roman,,unheimliche_verfolger,OS-1,
Unternehmen Venezia,,E.S. Aarons,,Roman,,unternehmen_venezia,OS-1,
Washington, D.C.,,Gore Vidal,G,Roman,,washington_dc,OS-1,
Weiselkirschen,,Leonie Ossowski,Heyne,Roman,,weichselkirschen,OS-1,
Wenn der Panther schläft,,Pestum,,Roman,,wenn_der_panter_schlaeft,OS-1,
Wir helfen dir, K.I.M.,,Potthoff,,Roman,,wir_helfen_dir_kim,OS-1,
Wo nachts der Puma ruft ...,,Salamanca,Sala,Roman,,wo_nachts_der_puma_ruft,OS-1,
Zwei treue Freunde,,Max Albert,Karo Buch,Roman,,zwei_treue_freunde,OS-1,
Ausser Kontrolle,Die Medienmacht des Leo Kirch,Michael Radkte,Edition Hands Erpf,Politics,,ausser_kontrolle,H-1,
Begegnungen,7,,,Roman,,begegnungen,H-1,
Berts heimliche Katastrophen,,S. Olsson A. Jacobsson,,Roman,,berts_heimliche_katastrophen,H-1,
Blanco,,Henri Charriere,,Roman,,blanco,H-1,
Das Bergbau-Handbuch,,,,School,,das_bergbau_handbuch,H-1,
Das Freiluft Museum,,Aleksander Minkowski,ww,Roman,,das_freiluftmuseum,H-1,
Das magische Buch,,Kim Wilkins,Heyne,Roman,,das_magische_buch,H-1,
Das Osterman Wochenende,,Robert Ludlum,Heyne,Roman,,das_osterman_wochenende,H-1,
Das Wunder von Jerusalem,,Riemschneider,,Roman,,das_wunder_von_jerusalem,H-1,
Der aus den Docks,,Mario Giordano,rowohlt rotfuchs,Roman,,der_aus_den_docs,H-1,
Der Großwesir der Nacht,,Catherine Hermary-Vielle,,Roman,,der_grosswesir_der_nacht,H-1,
Die 13. Prophezeiung,,Valentine Ermantinger,rowohlt rotfuchs,Roman,,die_13_prophezeiung,H-1,
Die Anstalt,,John Katzenbach,Knaur,Roman,,die_anstalt,H-1,
Die Freiburger Thesen,,Flach/Maihofer/Scheel,ro ro ro,Roman,,die_freiburger_thesen,H-1,
Modesty Blaise,Die Lady bittet ins Jenseits,Peter O'Donnell,,Roman,,die_lady_bittet_ins_jenseits,H-1,
Die Morgengabe,,Eva Ibbotson,Scherz,Roman,,die_morgengabe,H-1,
Die Muschelsucher,,Rosamunde Pilcher,ro ro ro,Roman,,die_muschelsucher,H-1,
Die wichtigsten Wirtschaftsdenker,,Vera Linß,marixwissen,Political,,die_wichtigsten_wirtschaftsdenker,H-1,
Dominiqzue von Mogador,,Barbier,,Roman,,dominique_von_mogador,H-1,
Ein ehrenwerter Herr,,Jules Romains,,Roman,,ein_ehrenwerter_herr,H-1,
Ein Kerl wie Samt und Seide,,Will Berthold,Heyne,Roman,,ein_kerl_wie_samt_und_seide,H-1,
Ein Mann für eine Nacht,,Jil Karoly,,Roman,,ein_mann_fuer_eine_nacht,H-1,
Ende eines Sommers,,Rosamunde Pilcher,ro ro ro,Roman,,ende_eines_sommers,H-1,
Geh, aus mein Herz,,Ake Edwardson,List,Roman,,geh_aus_meinen_herz,H-1,
Grüne Tomaten,,Fannie Flagg,Bastei Lübbe,Roman,,gruene_tomaten,H-1,
Handlexikon zur Politikwissenschaft,,,ro ro ro,Political,,handlexikon_zur_politikwissenschaft_2,H-1,
Hannas Töchter,,Marianne Fredriksson,,Roman,,hannas_toechter,H-1,
Harry Potter and the Gablet of Fire,,J.K. Rowling,Bloomsbury,Roman,,harry_potter_and_the_goblet_of_fire,H-1,
Hochspannung,,Arthur Hailey,,Roman,,hochspannung,H-1,
Ich schenk dir eine Geschichte,Das geheimnisvolle Spukhaus,,cbj,Roman,,ich_schenk_dir_eine_geschichte,H-1,
In Irland gibt es keine Schlangen,,Frederick Forsyth,,Roman,,in_irland_gibt_es_keine_schlangen,H-1,
Indianerabenteuer für Erstleser,,Leserabe,Ravensburger,Roman,,indianerabenteuer_fuer_erstleser,H-1,
Lächeln,Ein heiteres Lesebuch,,Heyne,Roman,,laecheln,H-1,
LeseSommer,,,Bastei Lübbe,Roman,,lesesommer,H-1,
Magma am Himmel,,Carlos Rasch,,Roman,,magma_am_himmel,H-1,
Mit Babsi kann man Pferde stehlen,,Rosener,N,Roman,,mit_babsi_kann_man_pferde_stehlen,H-1,
Neue Schulbibel,,,,Roman,,neue_schulbibel,H-1,
Nimm den Diktator und geh,,Maria Klingler,,Roman,,nimm_den_diktator_und_geh,H-1,
Palermis Erben,,Schuler,,Roman,,palermis_erben,H-1,
Schattenjagt,,K.J. Parker,Bastei Lübbe,Roman,,schattenjagdt,H-1,
Schwarzer Sonntag,,Thomas Harris,Heyne,Roman,,schwarzer_sonntag,H-1,
So holen Sie sich den Führerschein zurück,,Vogel/Fehling,Econ,Roman,,so_holen_sie_sich_ihren_fuehrerschein_zurueck,H-1,
Spannende Fußball Geschichten,,Anne Ameling,ellermann,Roman,,spannende_fussball_geschichten,H-1,
Straße der Pfirsich- blüten,,Anne Rivers Siddons,G,Roman,,strasse_der_pfirsich_blueten,H-1,
The Queen and I,,Sue Townsend,Arrow,Roman,,the_queen_and_i,H-1,
Todsünden,,Elise Title,,Roman,,todsuenden,H-1,
Traumnzeit für Agenten,,Gisbert Haefs,Heyne,Roman,,traumzeit_fuer_agenten,H-1,
Vorschusslorbeeren,,Burgh,Knaur,Roman,,vorschusslorbeeren,H-1,
Wer wirft den ersten Stein,,Gürt,,Roman,,wer_wirft_den_ersten_stein,H-1,
Wunder dauern etwas länger,,Dieter Zimmer,,Roman,,wunder_dauern_etwas_laenger,H-1,
60 Sekunden,,James Hankins,Piper,Roman,,60_sekunden,H-2,
Ali und die Spaghettibande,,Günter Rudorf,Omnibus,Roman,,ali_und_die_spaghettibande,H-2,
Aus Leidenschaft,,Mary Mackey,,Roman,,aus_leidenschaft,H-2,
Das Erbe der Astrow,,Constance Heaven,Zsolnay,Roman,,das_erbe_der_astrow,H-2,
Der rostende Ruhm,,Konsalik,Lingen,Roman,,der_rostende_ruhm,H-2,
Der Ruf der Amsel,,Marcia Willett,,Roman,,der_ruf_der_amsel,H-2,
Der Saxophonist,,Holmes,MaroVerlag,Roman,,der_saxophonist,H-2,
Der Seewolf,,Jack London,,Roman,,der_seewolf,H-2,
Der Tod der Fünften Sonne,,Robert Somerlott,,Roman,,der_tod_der_fuenften_sonne,H-2,
Die spannendsten Detektiv Geschichten,,,,Roman,tosa,detektiv_geschichten,H-2,
Deutschlandreise,,Roger Willemsen,,Roman,,deutschlandreise,H-2,
Die Abenteuer von Winnieh Puuh,,,Disney,Roman,,die_abenteuer_von_winnie_puh,H-2,
Die Amalfi-Affäre,,Vicky Maxwell,Caroline,Roman,,die_amalfi-affaere,H-2,
Die Herren der Insel,,Pat Conroy,Bastei Lübbe,Roman,,die_herren_der_insel,H-2,
Die kleine Weltlaterne,,Peter Bamm,,Roman,,die_kleine_weltlaterne,H-2,
Die MacGregories,,Nora Roberts,,Roman,,die_macgregors,H-2,
Die Maharani,,Gita Mehta,,Roman,,die_maharani,H-2,
Die Reise nach Portiun cula,,Stefan Andres,,Roman,,die_reise_nach_portiun_cula,H-2,
Die schöne Rivalin,,Konsalik,G,Roman,,die_schoene_rivalin,H-2,
Verschwörung der Sieben,,Jon Land,,Roman,,die_verschwoerung_der_sieben,H-2,
Die Versuchung,,David Baldacci,Bastei Lübbe,Roman,,die_versuchung,H-2,
Die vierte Hand,,John Irving,,Roman,,die_vierte_hand,H-2,
Die Wanderhure,,Iny Lorentz,Knaur,Roman,,die_wanderhure,H-2,
Eifel-Krieg,,Jacques Berndorf,KBV,Roman,,eifel-krieg,H-2,
Ein Jahr rollt übers Gebirg,,Johannes Linke,MV,Roman,,ein_jahr_rollt_uebers_gebirg,H-2,
Erbin des verlorenen Landes,,Kiran Desai,,Roman,,erbin_des_verlorenen_landes,H-2,
Falken- horst,,Mark Rascovich,,Roman,,falkenhorst,H-2,
Feuerspringer,,Nicholas Evans,,Roman,,feuerspringer,H-2,
Feuerwind,,Stefanie Gercke,Heyne,Roman,,feuerwind,H-2,
Gäste im Schloss,,Planner-Petelin,,Roman,,gaeste_im_schloss,H-2,
Gesang vom großen Feuer,,Sebastian Faulks,S,Roman,,gesang_vom_grossen_feuer,H-2,
Großes Wörterbuch Französisch,,,AJV,Roman,,grosses_woerterbuch_franzoesisch,H-2,
Gulla hält ihr Wort,,Sandwall-Bergström,t,Roman,,gulla_haelt_ihr_wort,H-2,
In den Schuhen des Fischers,,Morris L. West,,Roman,,in_den_schuhen_des_fischers,H-2,
Kalt ist der Abendhauch,,Ingrid Noll,de te be,Roman,,kalt_ist_der_abendhauch,H-2,
Lebendiger Bambus,,Pearl S. Buck,Lingen,Roman,,lebendiger_bambus,H-2,
Märchen und Sagen der Indianer Nordamerikas,,Karl Knortz,Borowsky,Roman,,maerchen_und_sagen,H-2,
Middlesex,,Jeffrey Eugenides,,Roman,,middlesex,H-2,
Nicht ohne meine Tochter,,Betty Mahmoody,Bastei Lübbe,Roman,,nicht_ohne_meine_tochter,H-2,
oleander,oleander,Bergius,,Roman,,oleander,H-2,
Radetzkymarsch,,Joseph Roth,dtv,Roman,,radetzkymarsch,H-2,
Russische Freunde,,Matti Rönka,Lübbe,Roman,,russische_freunde,H-2,
Sie hatten einen Traum,,Thomas Jeier,Arena Live,Roman,,sie_hatten_einen_traum,H-2,
Summer Rave,,Fuch,,Roman,,summer_rave,H-2,
Tal der Träume,,Patricia Shaw,Bastei Lübbe,Roman,,tal_der_traeume,H-2,
Träum den unmög- lichen Traum,,Johannes Mario Simmel,,Roman,,traeume_den_unmoeglichen_traum,H-2,
Und immer wieder Abschied,,Cathy Spellman,Knaur,Roman,,und_immer_wieder_abschied,H-2,
Wer sein Haus auf Sünden baut,,P. D. James,BILD,Roman,,wer_sein_haus_auf_suenden_baut,H-2,
Wo die Sonne aufgeht,,Pearl S.Buck,,Roman,,wo_die_sonne_aufgeht,H-2,
Zähl nicht die Stunden bis zur Ewigkeit,,Danny Scheinmann,CP,Roman,,zaehl_nicht_bis_zur_ewigkeit,H-2,
Ärzte kochen besser,,Dr. Julius Bernheim,,Roman,,aerzte_kochen_besser,H-3,
Anaconda,,Suart Woods,G,Roman,,anaconda,H-3,
Aufruhr der Herzen,,Shirlee Busbee,G,Roman,,aufruhr_der_herzen,H-3,
Circus,,Alistair MacLean,Heyne,Roman,,circus,H-3,
Das Haus auf den Klippen,,Mary Higgins Clark,Heyne,Roman,,das_haus_an_den_klippen,H-3,
Das hungrige Herz,,Janet Dailey,G,Roman,,das_hungrige_herz,H-3,
Das Schlangennest,,Linda Davies,Heyne,Roman,,das_schlangennest,H-3,
Das siebte Gebot,,Lawrence Sanders,G,Roman,,das_siebte_gebot,H-3,
Der bedrohte Mond,,Malcom,G,Roman,,der_bedrohte_mond,H-3,
Der Ermittler,,Arthur Hailey,Blanvalet,Roman,,der_ermittler,H-3,
Der große Kampf,,Janet Dailey,Heyne,Roman,,der_grosse_kampf,H-3,
Der große Traum,,Janet Dailey,Heyne,Roman,,der_grosse_traum,H-3,
Der irrtum des Dottore Gambassi,,Nino Filasto,AV,Roman,,der_irrtum_des_dottore_gambassi,H-3,
Der junge Herr Justus,,Marie Louise Fischer,Lingen,Roman,,der_junge_herr,H-3,
Der Name der Rose,,Eco,dtv,Roman,,der_name_der_rose,H-3,
Die Geschichte der sozialen Versicherung,1. Auflage,Leopold,AV,Political,,die_geschichte_der_sozialen_versicherung,H-3,
Die Hand an der Wiege,,Wolfgang Hohlbein,Bastei Lübbe,Roman,,die_hand_an_der_wiege,H-3,
Die Profis,Die Manager,Harold Robbins,Lingen,Roman,,die_profis,H-3,
die reißenden Wasser von Valaba,,,,Roman,,die_ressenden_wasser_von_velaba,H-3,
Die Überlebenden der Kerry Dancer,,Alistair MacLean,Heyne,Roman,,die_ueberlebenden_der_kerry_dancer,H-3,
Die Unsterblichkeit,,Milan Kundera,,Roman,,die_unsterblichkeit,H-3,
Die Verlobten,,Alessandro Manzoni,,Roman,,die_verlobten,H-3,
Dunkle Kammern,,Minette Walters,Goldmann,Roman,,dunkle_kammern,H-3,
Eine Liebe in Frankreich,,Noel Barber,Heyne,Roman,,eine_liebe_in_frankreich,H-3,
Gott schütze dieses Haus,,Elizabeth George,G,Roman,,gott_schuetze_dieses_haus,H-3,
H2O,,Patric Nottret,Bastei Lübbe,Roman,,h2o,H-3,
Heiße Meilen,,Christopher S. Hagen,,Roman,,heisse_meilen,H-3,
Hochzeit zwischen Himmel und Hölle,,Rudolf Kassner,,Roman,,hochzeit_zwischen_himmel_und_hoelle,H-3,
Ich wollte Hosen,,Lara Cardella,,Roman,,ich_wollte_hosen,H-3,
Jauche und Levkojen,,Christine Brückner,,Roman,,jauche_und_levkojen,H-3,
Konzertbuch,G - O,Orchestermusik,,Roman,,konzertbuch,H-3,
Magari,,Noel Barber,Heyne,Roman,,magari,H-3,
Malik der Wolf,,George Halban,Lingen,Roman,,malik_der_wolf,H-3,
Maskerade,,Janet Dailey,Heyne,Roman,,maskerade,H-3,
Matildas letzter Walzer,,Tamara McKinley,Traumpfade,Roman,,matildas_letzter_walzer,H-3,
Messung der Arbeitszufriedenheit,,Neuberger,wk,School,,messung_der_arbeitszufriedenheit,H-3,
Nach dem Spiel ist vor dem Spiel,,Wolfgang Frank (HG.),ro ro ro,Roman,,nach_dem_spiel_ist_vor_dem_spiel,H-3,
Nur der Himmel sieht zu,,Romana Speziel,CORA,Roman,,nur_der_himmel_sieht_zu,H-3,
Pferde am Fluß,,Barbara Esstman,Goldmann,Roman,,pferde_am_fluss,H-3,
Räder,,Arthur Hailey,,Roman,,raeder,H-3,
Schicksalsmomente der Sachgeschchte,,Ehn Kastner,,History,,schicksalsmomente_der_sachgeschichte,H-3,
Siyah Lale,,Alexandre Dumas,,Roman,,siyah_lale,H-3,
So hell wie der Mond,,Nora Roberts,Weltbild,Roman,,so_hell_wie_der_mond,H-3,
Sorge dich nicht,,Dale Carnegie,Scherz,Roman,,sorge_dich_nicht,H-3,
Sturmritt,,Janet Dailey,G,Roman,,sturmritt,H-3,
Theorien der Arbeitszufriedenheit,,Neuberger,wk,School,,theorien_der_arbeitszufriedenheit,H-3,
Tischlein deck dich,,Waechter,ro ro ro,Roman,,tischlein_deck_dich,H-3,
Tochter des Regens,,Amanda Cockrell,Heyne,Roman,,tochter_des_regens,H-3,
Weil deine Augen ihn nicht sehen,,Mary Higgins Clark,CT,Roman,,weil_deine_augen_ihn_nicht_sehen,H-3,
Wirbel des Lebens,,Joanna Trollope,Heyne,Roman,,wirbel_des_Lebens,H-3,
Wo Dunkel herrscht Wenn Engel schlafen,,Kelman,G,Roman,,wo_dunkel_herrscht_wenn_engel_schlafen,H-3,
"Christine-Ulrike,""2 Mädchen, die es geschafft haben"",Martha-Maria Bosch,Spectrum Verlag,Roman,,2_maedchen_die_es_geschafft_haben,BA,"
Air Port,,Arthur Hailey,,Roman,,airport,BA,
Bauten und Bildwerke im Park Sanssouci,,,,Roman,,bauten_und_bildwerk_im_park_sanssouci,BA,
Bleib ungezähmt, mein Herz,,Jane Feather,CP,Roman,,bleib_ungezaehmt_mein_herz,BA,
Das Kreuz im Schiff,,Andre Mairock,,Roman,,das_kreuz_im_schiff,BA,
Das Haus im Marulabaum,,Alexandra Cordes,,Roman,,das_haus_im_marulabaum,BA,
Das Land der Hoffnung,,Herman Wouk,,Roman,,das_land_der_hoffnung,BA,
Der Hahn ist tot,,Ingrid Noll,de te be,Roman,,der_hahn_ist_tot,BA,
Der Unheimliche mit der Goldmaske,,Trio 6,Weltbild Verlag,Roman,,der_unheimliche_mit_der_goldmaske,BA,
Der Hphnerdieb,Lokalausgabe,Shulamit Lapid,freche Frauen,Roman,,der_huehnerdieb,BA,
Der Morgen weiß mehr als der Abend,,Zink,K,Roman,,der_morgen_weiss_mehr_als_der_abend,BA,
Der Text meines Herzens,,Stern,Rowohlt,Roman,,der_text_meines_herzens,BA,
Der Weltensammler,,Ilija Trojanow,dtv,Roman,,der_weltensammler,BA,
Die grosse Verschleierung,,Alice Schwarzer,KiWi,Roman,,die_grosse_verschleierung,BA,
Die Herren der Zeit,,Helmut W. Pesch,Bastei Lübbe,Roman,,die_herren_der_zeit,BA,
Die Leber wächst mit ihren Aufgaben,,Dr. med. Eckart von Hirschhausen,ro ro ro,Health,,die_leber_waechst_mit_ihren_aufgaben,BA,
Die Liebe der Wanderapothekerin,,Iny Lorentz,Knaur,Roman,,die_liebe_der_wanderapothekerin,BA,
Die Mittagsfrau,,Julia Franck,,Roman,,die_mittagsfrau,BA,
Die Prophetin,,Barbara Wood,,Roman,,die_prophetin,BA,
Die schönsten klassischen Märchen,,,,Roman,,die_schoensten_klassischen_maerchen,BA,
Die Tochter des Phoenix,,Barbara Erskine,Heyne,Roman,,die_tochter_des_phoenix,BA,
Sieben phantastische Geschichten,,Tania Blixen,ro ro ro,Roman,,dieben_phantastische_geschichten,BA,
Ein Wunsch bleibt immer,,Michael Burk,,Roman,,ein_wunsch_bleibt_immer,BA,
Eine italienische Familie,,Magnani,Knaur,Roman,,eine_italienische_familie,BA,
Frühlingszeit - Osterzeit,,Michels,dtv junior,Roman,,fruehlingszeit-osterzeit,BA,
Geometrie einer Ehe,,Willi Heinrich,,Roman,,geometrie_einer_ehe,BA,
Gut geküsst ist halb gewonnen,,Rachel Gibson,Goldmann,Roman,,gut_gekuesst_ist_halb_gewonnen,BA,
Handbuch des modernen Wissens,,,,Encyclopedia,,handbuch_des_modernen_wissens,BA,
Hochzeit in St. George,,Sophia Farago,,Roman,,hochzeit_in_st_george,BA,
Höhenflug abwärts,,Jana Frey,,Roman,,hoehenflug_abwaerts,BA,
Ich hörte die Eule, sie rief meinen Namen,,Margaret Craven,ro ro ro,Roman,,ich_hoerte_die_eule,BA,
Karussell des Lebens,,Rosamunde Pilcher,ro ro ro,Roman,,Karussell_des_lebens,BA,
Kindheit bei Scientology,,Ursula Caberta,G,Roman,,kindheit_bei_scientology,BA,
Kramer gegen Kramer,,Avery Corman,,Roman,,kramer_gegen_kramer,BA,
Licht im August,,William Faulkner,,Roman,,licht_im_august,BA,
Lorettas letzter Vorhang,,Petra Oelker,ro ro ro,Roman,,lorettas_letzter_vorhang,BA,
Mein linker Fuss,,Christy Brown,Henssel,Roman,,mein_linker_fuss,BA,
Nummer fünf - so leid es mir tut,,Stefan Murr,,Roman,,nummer_fuenf_so_leid_es_mir_tut,BA,
Poesieverse fürs Album,Kluge Köpfchen,Fix und Foxi,Moewig,Roman,,poesieverse_fuers_album,BA,
Porgy und Bess,,DuBose Heyward,,Roman,,porgy_und_bess,BA,
Rheingold,,Stephan Grundy,,Roman,,rheingold,BA,
Schummeln - aber richtig,,Brockmann,Brockmann,School,,schummeln-aber_richtig,BA,
Schwarzer Winter,,Peter Millar,Bastei Lübbe,Roman,,schwarzer_winter,BA,
Stahl,,Armin Mueller,Heyne Filmbibilothek,Roman,,stahl,BA,
Von Hamburg nach Yukon Bay,,,spoon edition,Roman,,von_hamburg_nach_yukon_bay,BA,
Alles was ich will ist alles,,Preminger,,Roman,,was_ich_will_ist_alles,BA,
Weihnachtliches aus Pommern,,Granzow,,Roman,,Weihnachtliches_aus_pommern,BA,
Winterwunder,,Nora Roberts,Heyne,Roman,,winterwunder,BA,
Wir sind die Hälfte,,,,Roman,,wir_sind_die_haelfte,BA,
Zur Liebe geschaffen,,Benedikt XVI.,benno,Roman,,zur_liebe_geschaffen,BA,
The best of Betjeman,,Selected by John Guest,,Roman,,the_best_of_betjeman,HI-1,
Nur ein Frühlingshauch,,Erica James,,Roman,,nur_ein_fruehlingshauch,HI-1,
Langoliers,,Stephen King,Heyne,Roman,,langoliers,HI-1,
Sakrileg,,Dan Brown,Bastei Lübbe,Roman,,sakrileg,HI-1,
Das Leuchten der Orchideen,,Di Morrissey,Kaur,Roman,,das_leuchten_der_orchideen,HI-1,
Wo das Glück wartet,,Nora Roberts u. a.,Jade,Roman,,wo_das_glueck_wartet,HI-1,
Sinuhe der Ägypter,,Mika Waltaro,Weltbild Verlag,Roman,,der_aegypter,HI-1,
Großstadtrevier,Wachgeküsst,Jan Schröter,vgs,Roman,,wachgekuesst,HI-1,
Privatdetektiv Perry Clifton,,Wolfgang Ecke,Loewes,Roman,,privatedetektiv_perryclifton,HI-1,
Jeanne in den Gärten,,Fanny Deschamps,,Roman,,jeanne_in_den_gaerten,HI-1,
Einen Stein für Danny Fisher,,Robbins,ro ro ro,Roman,,ein_stein_fuer_danny_fisher,HL-1,
Pro und Contra,,Summerhill,ro ro ro,Roman,,pro_und_contra,HL-1,
Tini und der rote Luftballon,,K. Theuermeister,Karo Buch,Roman,,tini_und_der_grosse_luftballon,HL-1,
Wer aaahh sagt...,,Richard Gordon,,Roman,,wer_aah_sagt,HL-1,
Glatteis,,John Sherwood,,Roman,,glatteis,HL-1,
Das neue Fischkochbuch,,Böttiger/Froidl,Heyne,Cooking,,das_neue_fischkochbuch,HL-1,
Sophies Entscheidung,,Styron,Knaur,Roman,,sophies_entscheidung,HL-1,
Das grosse Heimweh,,Rudolf Herzog,,Roman,,das_grosse_heimweh,HL-1,
Tine Kirstandt,,F. H. Pohl,,Roman,,tine_kirstand,HL-1,
Fit & Schön,Brigitte,Karin Felix,G,Roman,,fit_und_schoen,HL-1,
Adler uber den Wolken,,Wilbur Smith,Bastei Lübbe,Roman,,adler_uber_den_wolken,HL-1,
Love Story,,,,Roman,,lovestory,HL-1,
VOB/VOL/HOAI,,Beck-Texte,dtv,Roman,,vob_vol_hoai,HL-1,
Strega,,Vachss,,Roman,,strega,HL-1,
Alle Menschen werden Brüder,,Simmel,Knaur,Roman,,alle_menschen_werden_brueder,HL-1,
Der Mitternachtsclub,,James Patterson,Econ List,Roman,,der_mitternachtsclub,HL-1,
Sagenwelt der Fantasy,,Iaac Asimov,Bastei Lübbe,Roman,,sagenwelt_der_fantasy,HL-1,
Frühling einen Sommer lang,,Herman Paucher,,Roman,,fruehing_einen_sommer_lang,HL-1,
Feuer- Bucht,,Patricia Shaw,CP,Roman,,feuerbucht,HL-1,
Sag mir AufWiedersehen,,Alexandra Cordes,,Roman,,sag_mir_aufwiedersehen,HL-1,
Der rote Marder,,Peter Nisser,,Roman,,der_rote_marder,HL-1,
Die Löwin von SanMarino,,Gaby von Schöntban,,Roman,,die_loewin_von_sanmarino,HL-1,
Amber,,Kathleen Winsor,,Roman,,amber,HL-1,
Es geschah an einem Mittwoch,,Ben Harder,Karo Buch,Roman,,es_heschah_an_einem_mittwoch,HL-1,
Rose und Schwert Lerche und Löwe Pupur und Diamant,,Sandra Paretti,G,Roman,,rose_und_schwert,HL-1,
Weber auf dem Welttheater,,Hans Schnoor,,Roman,,weber_auf_dem_welttheather,HL-1,
Ansischten eines Clowns Billiard um halb zehn,,Heinrich Böll,Lingen,Roman,,ansichten_eines_clowns,HL-1,
Ich tanze so schnell ich kann,,Barbara Gordon,ro ro ro,Roman,,ich_tanzte_so_schnell_ich_kann,HL-1,
Die ersten drei Lebensjahre,,Doro Kammerer,dtv,Advices,,die_ersten_drei_lebensjahre,HL-1,
Praxis Sprache 7,,,Westermann,School,,praxissprache_7,HL-1,
Das Rentiervolk,,Megan Lindhorn,Heyne,Roman,,das_rentiervolk,HL-1,
Moderne türkische Erzählungen,,,dtv zweisprachig,History,,moderne_tuerkische_klassiker,HL-1,
Schwere Entscheidung für Astrid,,Diessel,GJB,Roman,,entscheidung_fuer_astrid,HL-1,
Beruf aktuell 2002/2003,,,Bundesanstalt für Arbeit,Advices,,beruf_aktuell_02_03,HL-1,
Die Outsider,,Susan E. Hinton,dtv junior,Roman,,die_outsider,HL-1,
Kleine Madonna,,Theodor Kröger,,Roman,,kleine_madonna,HL-1,
Der Eindring- ling,,Hortense Galisher,,Roman,,der_eindringling,HL-1,
Die Phaspsodien von der Freude,,P.Steinmüller,,Roman,,die_rhapsodien_von_der_freude,HL-1,
Stufen,,Christian Morgenstern,,Roman,,stufen,HL-1,
Ein ausgesprochen nettes Tier,,Riehl,,Roman,,ein_ausgesprochen_nettes_tier,HL-1,
Kleine Welt im Tessin,,Kathrin Rüegg,,Roman,,kleine_welt_im_tessin,HL-1,
Die Frauen des Hauses Wu,,Pearl S. Buck,,Roman,,die_frau_des_hauses_wu,HL-1,
Nicht ohne meine Mutter,Erfahrungen,Meral Al-Mer,Bastei Lübbe,Roman,,nciht_ohne_meine_mutter,HL-1,
Furcht und Mitleid,,Alice Ecker- Rotholz,,Roman,,furcht_und_mitleid,HL-1,
Glück unter dem Regenbogen,,Bela,,Roman,,glueck_unterm_regenbogen,HL-1,
Wagner,,A.C.H.Smith,Heyne,Roman,,wagner,HL-1,
Der Efeubaum,,Mary Stewart,Heyne,Roman,,der_efeubaum,HL-1,
Die Quints,,Christine Brückner,,Roman,,die_quints,HL-1,
Da wir uns Lieben,,Marie Louise Fischer,Heyne,Roman,,da_wir_uns_lieben,HL-1,
Ein langer Sommer,,Alfred Coppel,G,Roman,,ein_langer_sommer,HL-1,
